Column1,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power,first_genre
239,The Wizard of Oz,51084812,22.064932000000002,1939,620945687,102,7.4,1689,1,Classics
240,Drive,17054246,15.388875,2011,88744414,100,7.4,3832,1,Action & Adventure
241,Moulin Rouge!,75800395,13.691781,2001,258751412,127,7.4,1348,1,Drama
242,The Terminator,15750529,19.293561999999998,1984,192873107,108,7.4,4208,1,Action & Adventure
244,Hercules,135417445,14.048694,1997,402607378,93,7.3,1741,1,Animation
245,Lost in Translation,5558695,11.609441,2003,166377119,102,7.3,1943,0,Comedy
246,Black Swan,15241173,12.989056,2010,384316432,108,7.3,4562,1,Drama
247,If I Stay,11882974,9.659244000000001,2014,85206156,106,7.3,1415,1,Drama
248,The Bourne Identity,85280711,21.040126,2002,304216515,119,7.3,3640,1,Action & Adventure
249,Pitch Perfect,18932491,11.03595,2012,128462996,112,7.3,2310,1,Comedy
250,10 Things I Hate About You,24557022,12.069966,1999,82079033,97,7.3,1768,0,Comedy
251,Road to Perdition,113707615,13.426684,2002,257265580,117,7.3,1102,1,Drama
252,Moonlight,4261666,14.171675,2016,69301824,111,7.3,1831,0,Drama
253,Unbroken,70217574,10.543955,2014,176562564,137,7.3,1437,0,Drama
254,The Bourne Ultimatum,86343463,18.173269,2007,546213854,115,7.3,2938,1,Action & Adventure
255,Mad Max: Fury Road,161835443,29.36178,2015,408751382,120,7.3,9629,1,Action & Adventure
256,The Longest Ride,36682700,10.264416,2015,67985214,128,7.3,1083,0,Drama
257,Zodiac,80176073,19.083823000000002,2007,104581563,157,7.3,2080,1,Mystery & Suspense
258,Carol,12731054,8.364201,2015,43449725,118,7.3,1014,1,Drama
260,Gravity,115229613,18.50194,2013,786187187,91,7.3,5879,1,Drama
261,The Fifth Element,143383177,24.30526,1997,420463489,126,7.3,3962,1,Drama
262,Moana,159812500,9.143457000000001,2016,685099637,107,7.3,3471,0,Action & Adventure
263,Casino Royale,190252976,23.065078,2006,759801845,144,7.3,3930,2,Action & Adventure
264,Ghostbusters,73830606,22.089729000000002,1984,726523848,107,7.3,2431,1,Action & Adventure
265,Man on Fire,94753838,9.635691,2004,176368992,146,7.3,1583,1,Action & Adventure
266,Apollo 13,87246719,18.761467,1995,596025849,140,7.3,1637,1,Action & Adventure
267,Apocalypto,50734126,7.735233,2006,152424710,139,7.3,1252,0,None
268,The Great Gatsby,115229613,17.598936,2013,385240494,143,7.3,3885,2,Classics
269,Jackie Brown,19117757,16.415498,1997,63205155,154,7.3,1580,1,Action & Adventure
270,Saving Mr. Banks,38409871,15.130888,2013,123509223,125,7.3,1256,1,Comedy
271,Now You See Me,82306866,17.852022,2013,129165696,115,7.3,5635,1,Mystery & Suspense
272,Inside Man,57075892,13.393548000000001,2006,233854207,129,7.3,1671,1,Action & Adventure
274,The Artist,17054246,11.440947999999999,2011,151706453,100,7.3,1075,1,Comedy
275,"O Brother, Where Art Thou?",38607433,12.434175,2000,106717370,106,7.3,1144,1,Comedy
276,The Revenant,145651898,23.501228,2015,575001871,156,7.3,6558,1,Action & Adventure
277,Predator,40515845,18.495694,1987,221116457,107,7.3,2129,1,Action & Adventure
278,Creed,39919409,33.449723,2015,187262575,133,7.3,1963,1,Drama
279,Frozen,164613733,24.248243,2013,1398359659,102,7.3,5440,1,Drama
280,Begin Again,8779399,10.289628,2013,69647918,104,7.3,1285,1,Comedy
281,The Last Samurai,194554347,19.582325,2003,634746040,154,7.3,1946,1,Action & Adventure
282,Coraline,71524475,16.639915,2009,148528200,100,7.3,1432,1,Action & Adventure
283,District 9,35762237,11.589835,2009,251312701,112,7.3,3451,0,Action & Adventure
284,The Curious Case of Benjamin Button,178146771,17.934821,2008,396592817,166,7.3,3398,1,Drama
285,Dawn of the Planet of the Apes,183645965,75.385211,2014,767688278,130,7.3,4511,0,Action & Adventure
286,The Wrestler,7125870,7.903956,2008,53092482,109,7.3,1031,1,Drama
287,Training Day,64971767,13.664622,2001,151422093,122,7.3,1665,1,Action & Adventure
288,American Psycho,10394308,13.686715,2000,50882464,102,7.3,2128,1,Comedy
290,Predestination,5941487,10.524204,2014,3240811,97,7.3,1971,1,Mystery & Suspense
291,The Big Short,30209282,13.143061,2015,143867939,130,7.3,2679,1,Drama
292,Shrek,86629023,17.987728,2001,699398289,90,7.3,4183,1,Animation
293,Toy Story 2,138133253,17.547693,1999,763365596,92,7.3,3914,1,Animation
294,The Machinist,6768131,10.737565,2004,11104114,101,7.3,1280,1,Drama
295,Southpaw,32367088,12.370125999999999,2015,98946003,123,7.3,2112,1,Drama
296,Being John Malkovich,19952581,11.416319,1999,35091365,112,7.3,1124,1,Comedy
297,The Butterfly Effect,17597141,12.994939,2004,130030499,113,7.3,2119,1,Drama
298,Changeling,65320483,11.672394,2008,134227957,141,7.3,1151,1,Drama
299,Sin City,52370711,15.010525,2005,207825078,124,7.2,2755,1,Action & Adventure
300,Finding Neverland,33840656,15.529604,2004,158058276,106,7.2,1269,1,Drama
301,The Bourne Supremacy,101521969,20.40426,2004,390521468,108,7.2,2873,1,Action & Adventure
302,Get Out,5216238,36.894806,2017,263351439,104,7.2,2978,0,Horror
303,Crash,8798570,9.785147,2004,133210442,112,7.2,1172,1,Drama
304,The Judge,54013519,17.887943,2014,90439575,141,7.2,1433,1,Comedy
305,Corpse Bride,52370711,12.920032,2005,153439718,77,7.2,1957,0,None
306,Baby Driver,35470420,228.032744,2017,234220906,113,7.2,2083,0,Action & Adventure
307,Saw,1624351,23.508433,2004,140657563,103,7.2,2255,0,Horror
308,The Butler,27435622,11.061894,2013,127215880,132,7.2,1134,0,None
309,Match Point,19639016,9.020372,2005,111688888,124,7.2,1134,1,Drama
310,Chef,11882974,8.720309,2014,49657798,114,7.2,1203,1,Comedy
