title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
The Wrestler,6000000,7.903956,2008,44703995,109,7.3,1031
Training Day,45000000,13.664622,2001,104876233,122,7.3,1665
American Psycho,7000000,13.686715,2000,34266564,102,7.3,2128
Furious 7,190000000,27.275686999999998,2015,1506249360,137,7.3,4253
Predestination,5500000,10.524204,2014,3000000,97,7.3,1971
The Big Short,28000000,13.143061,2015,133346506,130,7.3,2679
Shrek,60000000,17.987728,2001,484409218,90,7.3,4183
Toy Story 2,90000000,17.547693,1999,497366869,92,7.3,3914
The Machinist,5000000,10.737565,2004,8203235,101,7.3,1280
Southpaw,30000000,12.370125999999999,2015,91709827,123,7.3,2112
Being John Malkovich,13000000,11.416319,1999,22863596,112,7.3,1124
The Butterfly Effect,13000000,12.994939,2004,96060858,113,7.3,2119
Changeling,55000000,11.672394,2008,113020255,141,7.3,1151
Sin City,40000000,15.010525,2005,158733820,124,7.2,2755
Finding Neverland,25000000,15.529604,2004,116766556,106,7.2,1269
The Bourne Supremacy,75000000,20.40426,2004,288500217,108,7.2,2873
Get Out,5000000,36.894806,2017,252434250,104,7.2,2978
Crash,6500000,9.785147,2004,98410061,112,7.2,1172
The Judge,50000000,17.887943,2014,83719388,141,7.2,1433
Corpse Bride,40000000,12.920032,2005,117195061,77,7.2,1957
Baby Driver,34000000,228.032744,2017,224511319,113,7.2,2083
Saw,1200000,23.508433,2004,103911669,103,7.2,2255
The Butler,25000000,11.061894,2013,115922175,132,7.2,1134
Match Point,15000000,9.020372,2005,85306374,124,7.2,1134
Chef,11000000,8.720309,2014,45967935,114,7.2,1203
Les Misérables,61000000,13.52408,2012,441809770,157,7.2,1925
Life of Pi,120000000,14.045042,2012,609016565,127,7.2,5912
End of Watch,7000000,7.452789999999999,2012,48126384,109,7.2,1186
The Girl with the Dragon Tattoo,90000000,8.907829,2011,232617430,158,7.2,2479
Fantastic Beasts and Where to Find Them,180000000,41.051421000000005,2016,809342332,133,7.2,5612
True Grit,38000000,10.730765,2010,252276927,110,7.2,1701
The Fighter,25000000,14.141836999999999,2010,93617009,116,7.2,1512
Sicario,30000000,19.511221,2015,84025816,121,7.2,2465
Wonder Woman,149000000,294.337037,2017,820580447,141,7.2,5025
Avatar,237000000,185.070892,2009,2787965087,162,7.2,12114
The Blind Side,29000000,12.753109,2009,309208309,129,7.2,1626
Law Abiding Citizen,53000000,16.639047,2009,126690726,109,7.2,1522
The Lego Batman Movie,80000000,17.070748,2017,311950384,104,7.2,1473
Bridge of Spies,40000000,13.707888,2015,165478348,141,7.2,2633
Zombieland,23600000,11.063029,2009,102391382,88,7.2,3655
(500) Days of Summer,7500000,16.376657,2009,60722734,95,7.2,2993
