Column1,title,rotten_tomatoes_link,star_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,revenue,top_critic_review_count,review_count
283,Fun with Dick and Jane,/m/1007977-fun_with_dick_and_jane,46,51,5485,1,7,5,202026112,1,6
284,The Fury,/m/1008015-fury,38,49,5184,1,21,6,24000000,1,17
285,Gallipoli,/m/1008074-gallipoli,31,83,23078,9,40,4,11740000,8,35
286,The Gambler,/m/1008080-gambler,45,77,1233,1,7,2,39171130,1,6
288,The General,/m/1008166-general,22,92,11457,10,48,4,1214198,10,46
290,The Getaway,/m/1008243-getaway,32,82,9690,2,17,3,58831997,2,11
292,Gloria,/m/1008407-gloria,26,80,4674,6,24,2,4059673,6,19
300,Glory,/m/1008415-glory,44,93,60096,10,40,3,26828365,10,33
301,The Goodbye Girl,/m/1008623-goodbye_girl,50,84,7466,1,15,3,102000000,1,11
302,The Great Gatsby,/m/1008799-great_gatsby,29,47,20753,7,14,22,26533200,7,28
306,The Great Race,/m/1008852-great_race,38,83,8776,2,17,6,25333333,2,15
307,The Green Berets,/m/1008931-green_berets,26,61,9617,2,3,9,11000000,2,8
308,Gulliver's Travels,/m/1009027-gullivers_travels,4,53,7271,0,8,4,237382724,0,9
310,Gung Ho,/m/1009058-gung_ho,29,45,7118,6,7,14,36611610,6,13
311,Hairspray,/m/1009096-hairspray,51,80,64137,9,41,1,90450008,9,32
313,Halloween,/m/1009113-halloween,21,89,302801,10,65,3,70000000,10,64
319,Hamlet,/m/1009123-hamlet,21,80,7527,6,31,3,1568749,6,29
329,The Hand,/m/1009131-hand,18,28,1902,1,1,8,566736,1,5
330,Hard Times,/m/1009211-hard_times,32,81,4109,2,12,1,5000000,2,7
331,The Haunting,/m/1009277-haunting,21,82,19295,7,34,5,91188905,7,31
333,Hawaii,/m/1009293-hawaii,28,51,1531,4,6,3,34562222,4,8
334,Heat,/m/1009399-heat,17,29,158,2,1,4,187436818,2,3
336,The Hills Have Eyes,/m/1009645-hills_have_eyes,16,54,51939,2,16,8,25000000,2,17
340,House of Wax,/m/1010030-house_of_wax,30,72,41343,6,39,2,23800000,6,31
344,Hud,/m/1010174-hud,27,89,8402,4,23,5,10000000,4,22
345,The Hunchback of Notre Dame,/m/1010214-hunchback_of_notre_dame,26,76,2951,3,21,2,100138851,3,19
351,The Hunter,/m/1010230-hunter,39,50,3321,1,6,6,176669,1,6
353,In Cold Blood,/m/1010448-in_cold_blood,31,88,8621,9,31,6,13007551,9,27
354,The Informer,/m/1010553-informer,25,78,1074,0,13,1,950000,0,9
355,Invaders from Mars,/m/1010672-invaders_from_mars,18,55,2758,0,9,2,4884663,0,5
359,Invasion of the Body Snatchers,/m/1010678-invasion_of_the_body_snatchers,26,85,19123,9,55,1,24046533,9,46
363,The Island,/m/1010745-island,27,51,7399,0,2,3,162949164,0,3
364,The Island of Dr. Moreau,/m/1010752-island_of_dr_moreau,12,40,2509,3,14,11,49627779,3,15
366,It's Alive,/m/1010793-its_alive,17,39,6158,0,15,5,15500000,0,12
367,Jesus Christ Superstar,/m/1011028-jesus_christ_superstar,59,76,36353,3,12,10,13200000,3,13
368,Kickboxer,/m/1011487-kickboxer,27,65,51317,3,4,6,14697005,3,7
369,The King and I,/m/1011605-king_and_i,30,83,60986,4,24,1,12000000,4,16
373,King Kong,/m/1011615-king_kong,40,86,90052,12,59,1,10000000,12,49
391,King of Kings,/m/1011626-king_of_kings,36,77,4340,5,17,3,14483352,5,16
392,King Solomon's Mines,/m/1011638-king_solomons_mines,17,60,3235,0,11,1,238227,0,10
393,Laura,/m/1012007-laura,36,91,10739,12,61,0,2000000,12,47
394,Legend,/m/1012164-legend,17,73,101519,8,14,25,15502112,8,30
398,Little Shop of Horrors,/m/1012515-little_shop_of_horrors,46,79,181532,10,46,5,38748395,9,34
399,Lock Up,/m/1012605-lock_up,28,50,15497,0,2,10,22099847,0,6
400,Lolita,/m/1012611-lolita,27,84,45913,3,39,3,1060056,3,29
404,The Longest Yard,/m/1012665-longest_yard,42,75,81321,5,26,6,43008075,5,23
408,The Magnificent Seven,/m/1013077-magnificent_seven,23,87,53958,7,38,5,4905000,7,30
412,The Maltese Falcon,/m/1013139-maltese_falcon,21,91,57767,9,55,0,1000000,9,50
413,A Man for All Seasons,/m/1013162-man_for_all_seasons,26,87,9736,7,31,7,28350000,7,34
414,The Manchurian Candidate,/m/1013227-manchurian_candidate,66,90,31317,10,54,2,96105910,9,46
418,The Manhattan Project,/m/1013238-manhattan_project,62,46,5184,1,8,9,3900000,1,7
419,Manhunter,/m/1013248-manhunter,59,77,53240,7,34,2,8620929,7,28
420,Mannequin,/m/1013259-mannequin,35,55,44704,9,7,29,42721196,8,26
421,Marty,/m/1013427-marty,19,87,6727,6,34,0,3000000,6,28
422,The Mechanic,/m/1013632-mechanic,41,66,4700,1,2,3,51070807,1,5
424,Metropolis,/m/1013775-metropolis,24,92,62757,34,122,2,650422,33,114
426,The Miracle Worker,/m/1013973-miracle_worker,25,88,8825,4,23,0,2500000,4,17
427,Missing in Action,/m/1014008-missing_in_action,32,42,12319,1,3,12,22812411,1,8
428,The Mission,/m/1014027-mission,26,87,38852,7,16,9,17218023,6,16
429,Moby Dick,/m/1014090-moby_dick,20,73,8322,5,18,3,10400000,5,16
430,Monkey Business,/m/1014137-monkey_business,15,83,7669,0,17,1,2000000,0,12
434,Moonraker,/m/1014217-moonraker,32,43,57971,9,30,19,210308099,9,42
435,Morning Glory,/m/1014246-morning_glory,16,46,831,0,7,3,58785180,0,8
437,Mr. & Mrs. Smith,/m/1014325-mr_and_mrs_smith,37,49,4825,5,14,7,478207520,5,17
439,Mrs. Soffel,/m/1014352-mrs_soffel,70,45,3301,4,4,7,4385312,4,7
440,The Mummy,/m/1014370-mummy,16,72,12279,5,26,2,415885488,5,23
456,The Music Man,/m/1014453-music_man,44,85,30530,0,16,1,8000000,0,9
457,Mutiny on the Bounty,/m/1014481-mutiny_on_the_bounty,49,84,8035,8,33,2,4460000,8,32
465,Neighbors,/m/1014804-neighbors,20,49,5909,1,5,3,29916207,1,4
469,Next of Kin,/m/1014946-next_of_kin,69,44,9628,0,5,4,15942628,0,3
470,Night of the Living Dead,/m/1015052-night_of_the_living_dead,38,88,130422,10,64,2,30000000,10,58
474,Nighthawks,/m/1015095-nighthawks,56,55,7343,4,14,6,19905359,4,15
475,No Mercy,/m/1015199-no_mercy,28,29,3853,5,3,11,12303904,4,7
476,No Way Out,/m/1015218-no_way_out,54,72,20733,13,39,4,35509515,11,29
478,The Nutty Professor,/m/1015348-nutty_professor,28,67,32962,0,22,4,128769345,0,14
479,The Odd Couple,/m/1015380-odd_couple,19,89,31369,6,34,0,44527234,6,23
480,The Omen,/m/1015517-omen,30,80,125877,6,41,7,60922980,6,38
484,The Out-of-Towners,/m/1015758-outoftowners,31,68,4322,2,9,6,29000000,2,7
486,Peter Pan,/m/1016213-peter_pan,10,80,277881,6,28,7,87404651,6,31
490,The Phantom of the Opera,/m/1016239-phantom_of_the_opera,29,53,49302,0,5,8,154648887,0,8
492,The Pink Panther,/m/1016338-pink_panther,15,78,57463,1,28,3,10878107,1,16
494,The Pirates of Penzance,/m/1016365-pirates_of_penzance,23,84,8471,3,13,3,694497,3,8
495,Planet of the Apes,/m/1016397-planet_of_the_apes,17,87,118954,11,51,7,33395426,11,46
499,Point Blank,/m/1016479-point_blank,27,84,7600,5,33,2,3200000,5,24
501,Poltergeist,/m/1016513-poltergeist,30,78,182197,8,52,9,122200000,8,46
505,The Poseidon Adventure,/m/1016584-poseidon_adventure,20,75,47363,1,19,5,84563118,1,17
506,The Producers,/m/1016819-producers,34,85,56073,12,63,7,38058335,12,57
508,Project X,/m/1016832-project_x,66,55,8766,9,15,5,18532286,8,16
512,Prom Night,/m/1016834-prom_night,32,35,20097,4,9,11,14796236,4,15
516,Promised Land,/m/1016837-promised_land,40,46,20344,41,79,73,316000,41,152
520,Prophecy,/m/1016842-prophecy,22,36,3744,0,4,10,54000000,0,7
521,The Protector,/m/1016847-protector,13,45,6884,0,1,4,27165581,0,3
522,Pulse,/m/1016897-pulse,14,30,2715,4,8,5,29907685,4,2
524,Raw Deal,/m/1017226-raw_deal,61,28,21169,1,3,9,16209459,1,5
526,Rear Window,/m/1017289-rear_window,31,95,150539,18,66,0,36764313,18,61
527,Red Dawn,/m/1017321-red_dawn,45,65,49105,1,11,13,38376497,1,17
531,Red Heat,/m/1017328-red_heat,51,37,37007,6,16,8,34994648,6,16
532,Red Sonja,/m/1017352-red_sonja,17,28,35204,6,4,22,6948633,6,20
533,Return to Oz,/m/1017488-return_to_oz,37,71,62053,10,17,16,11137801,10,27
534,Revenge,/m/1017502-revenge,31,54,9165,2,6,10,15645616,2,6
536,Risky Business,/m/1017641-risky_business,35,72,71117,6,45,2,63541777,6,31
537,Road House,/m/1017666-road_house,75,66,60142,12,16,27,30050028,12,39
538,Robin Hood,/m/1017699-robin_hood,15,81,271595,6,15,13,32056467,6,23
546,RoboCop,/m/1017712-robocop,41,84,226227,12,57,7,53000000,11,51
550,Rocky,/m/1017776-rocky,40,69,33403994,11,58,4,117235147,11,53
551,Romeo and Juliet,/m/1017834-romeo_and_juliet,25,74,65168,5,34,2,38901218,5,26
556,Sabotage,/m/1018044-sabotage,26,69,5357,1,11,0,17508518,1,7
558,Sabrina,/m/1018047-sabrina,28,89,55264,8,34,3,10000000,8,30
560,Sahara,/m/1018069-sahara,18,86,4874,3,10,0,119269486,3,8
564,Samson and Delilah,/m/1018126-samson_and_delilah,79,58,2065,4,5,3,11500000,4,8
565,Scanners,/m/1018315-scanners,31,64,31458,6,25,8,14225876,6,27
566,Scarface,/m/1018323-scarface,23,86,25930,7,37,0,65884703,7,29
570,Shaft,/m/1018699-shaft,45,68,12075,6,35,5,12121618,6,29
576,The Shaggy Dog,/m/1018702-shaggy_dog,20,48,9033,4,12,6,61112916,4,11
578,Short Circuit,/m/1018891-short_circuit,30,67,168948,6,21,15,40697761,6,24
579,A Shot in the Dark,/m/1018909-shot_in_the_dark,27,87,17936,4,28,2,12368234,4,22
580,Show Boat,/m/1018916-show_boat,57,70,5459,0,8,1,11000000,0,2
581,Silver Streak,/m/1019017-silver_streak,32,71,9067,1,16,4,51079064,1,12
582,Sleeping Beauty,/m/1019187-sleeping_beauty,12,80,427893,6,37,5,51000000,6,35
584,Sorcerer,/m/1019441-sorcerer,24,83,3773,9,31,8,12000000,9,31
585,Sparkle,/m/1019541-sparkle,20,91,4578,2,1,9,24637469,2,8
588,Spartacus,/m/1019544-spartacus,82,87,78000,9,54,3,60000000,9,46
589,Splash,/m/1019641-splash,62,,,8,37,4,69821334,8,26
590,The Squeeze,/m/1019743-squeeze,30,29,346,1,1,5,2228951,1,2
